name,lon,lat,dist
Belém,-48.4878256875,-1.459845,#NAME?
Belterra,-54.9426747393,-2.6490201695,#NAME?
Benevides,-48.2418364506,-1.361437515,#NAME?
Bom Jesus do Tocantins,-48.5990399591,-5.0473627043,#NAME?
Bonito,-47.3058918169,-1.3674743569,#NAME?
Bragança,-46.7657542137,-1.0535239562,#NAME?
Brasil Novo,-52.5434411923,-3.297803704,#NAME?
Brejo Grande do Araguaia,-48.4057604224,-5.7072961538,#NAME?
Breu Branco,-49.5698796833,-3.7781354129,#NAME?
Breves,-50.480894799,-1.6907365,#NAME?
Bujaru,-48.0358750144,-1.5139914623,#NAME?
Cachoeira do Piriá,-46.5473914166,-1.7528970049,#NAME?
Cachoeira do Arari,-48.9606675774,-1.0087862656,#NAME?
Cametá,-49.497830169,-2.24683848,#NAME?
Canaã dos Carajás,-49.8489584319,-6.5321966156,#NAME?
Capanema,-47.1751261231,-1.192441995,#NAME?
Capitão Poço,-47.0628253774,-1.7461872932,#NAME?
Castanhal,-47.9266431419,-1.295756805,#NAME?
Chaves,-49.9893186051,-0.1624372901,#NAME?
Colares,-48.2887284319,-0.932091244,#NAME?
Conceição do Araguaia,-49.2645008125,-8.26486353,#NAME?
Concórdia do Pará,-47.949886939,-1.9845214628,#NAME?
Cumaru do Norte,-50.7715783775,-7.8111065369,#NAME?
Curionópolis,-49.602214225,-6.0968199522,#NAME?
Curralinho,-49.7915228471,-1.8094234197,#NAME?
Curuá,-55.1196786087,-1.8899287043,#NAME?
Curuçá,-47.8512650859,-0.73249551,#NAME?
Dom Eliseu,-47.555914886,-4.29077772,#NAME?
Eldorado dos Carajás,-49.3739519422,-6.1035251611,#NAME?
Faro,-56.7457530173,-2.1729752419,#NAME?
Floresta do Araguaia,-49.6975784122,-7.5587008724,#NAME?
Garrafão do Norte,-47.0450460173,-1.9316970431,#NAME?
Goianésia do Pará,-49.1010449237,-3.842468,#NAME?
Gurupá,-51.6436957234,-1.404918,#NAME?
Igarapé-Açu,-47.622375492,-1.124322,#NAME?
Igarapé-Miri,-48.9622994689,-1.983116,#NAME?
Inhangapi,-47.9133927466,-1.4265819809,#NAME?
Ipixuna do Pará,-47.4997175888,-2.5575285,#NAME?
Irituia,-47.4407556128,-1.771474995,#NAME?
Itaituba,-55.9900488573,-4.26372948,#NAME?
Itupiranga,-49.3244258613,-5.1288370264,#NAME?
Jacareacanga,-57.7663398584,-6.2235517314,#NAME?
Jacundá,-49.1127815626,-4.448405475,#NAME?
Juruti,-56.0949976884,-2.155252995,#NAME?
Limoeiro do Ajuru,-49.3815339012,-1.8919485,#NAME?
Mãe do Rio,-47.5522901795,-2.0477074408,#NAME?
Magalhães Barata,-47.5991818965,-0.795850156,#NAME?
Marabá,-49.1420253334,-5.3526057631,#NAME?
Maracanã,-47.4552679594,-0.76241946,#NAME?
Marapanim,-47.7025487538,-0.7121509963,#NAME?
Marituba,-48.3405358778,-1.3464172656,#NAME?
Medicilândia,-52.8883453507,-3.4454174122,#NAME?
Melgaço,-50.7174646977,-1.8034466986,#NAME?
Mocajuba,-49.5090234613,-2.5828729733,#NAME?
Moju,-48.7671991274,-1.885889,#NAME?
Mojuí dos Campos,-54.64326888,-2.68245777,#NAME?
Monte Alegre,-54.0733747256,-2.003328,#NAME?
Muaná,-49.2168324425,-1.5300262084,#NAME?
Nova Esperança do Piriá,-46.9620928837,-2.267625989,#NAME?
Nova Ipixuna,-49.079886938,-4.923086307,#NAME?
Nova Timboteua,-47.3932022765,-1.2041436475,#NAME?
Novo Progresso,-55.419870118,-7.0348359133,#NAME?
Novo Repartimento,-49.9486382443,-4.2481485,#NAME?
Óbidos,-55.5163235097,-1.9092354959,#NAME?
Oeiras do Pará,-49.8551061088,-2.004734,#NAME?
Oriximiná,-55.8627995152,-1.7637535,#NAME?
Ourém,-47.1176193629,-1.5489471423,#NAME?
Ourilândia do Norte,-51.0908327747,-6.7406170864,#NAME?
Pacajá,-50.6348408304,-3.8303057038,#NAME?
Palestina do Pará,-48.3217937262,-5.7499341062,#NAME?
Paragominas,-47.3569615611,-2.9941905,#NAME?
Parauapebas,-49.9007806343,-6.0727298876,#NAME?
Pau D'Arco,-50.0482755319,-7.836794404,#NAME?
Peixe-Boi,-47.3179270216,-1.1895692408,#NAME?
Piçarra,-48.8684006672,-6.4536762346,#NAME?
Placas,-54.2169681313,-3.8673155621,#NAME?
Ponta de Pedras,-48.87178556,-1.3965999975,#NAME?
Portel,-50.8224904422,-1.936451,#NAME?
Porto de Moz,-52.242476919,-1.7460900888,#NAME?
Prainha,-53.4818139408,-1.8056945,#NAME?
Primavera,-47.1172512589,-0.9401115159,#NAME?
Quatipuru,-47.0067869936,-0.9001158537,#NAME?
Redenção,-50.0296418255,-8.0276045,#NAME?
Rio Maria,-50.0464108775,-7.3111152447,#NAME?
Rondon do Pará,-48.0699737494,-4.777821727,#NAME?
Rurópolis,-54.9058622599,-4.09906539,#NAME?
Salinópolis,-47.3531202632,-0.623638,#NAME?
Salvaterra,-48.5131865994,-0.7545259744,#NAME?
Santa Bárbara do Pará,-48.2977406498,-1.229439467,#NAME?
Santa Cruz do Arari,-49.1716155661,-0.6599741256,#NAME?
Santa Isabel do Pará,-48.163059941,-1.2973959013,#NAME?
Santa Luzia do Pará,-46.9061692027,-1.5188278914,#NAME?
Santa Maria das Barreiras,-49.7193518572,-8.8705505397,#NAME?
Santa Maria do Pará,-47.5746954138,-1.3478664593,#NAME?
Santana do Araguaia,-50.3448043211,-9.329424525,#NAME?
Santarém,-54.7185701673,-2.43621333,#NAME?
Santarém Novo,-47.4009247449,-0.9287195358,#NAME?
Santo Antônio do Tauá,-48.1324330748,-1.1516925,#NAME?
São Caetano de Odivelas,-48.0258054981,-0.74661776,#NAME?
São Domingos do Araguaia,-48.7203734108,-5.549841,#NAME?
São Domingos do Capim,-47.7747845692,-1.6758145,#NAME?
São Félix do Xingu,-51.993782524,-6.6424832783,#NAME?
São Francisco do Pará,-47.7905146107,-1.1701887847,#NAME?
São Geraldo do Araguaia,-48.5557124862,-6.39895797,#NAME?
São João da Ponta,-47.9207241656,-0.8510021453,#NAME?
São João de Pirabas,-47.1726742979,-0.7664425315,#NAME?
São João do Araguaia,-48.788633402,-5.3590027244,#NAME?
São Miguel do Guamá,-47.4824089445,-1.6171359145,#NAME?
São Sebastião da Boa Vista,-49.5323121746,-1.7188505,#NAME?
Sapucaia,-49.7035807119,-6.9428571126,#NAME?
Senador José Porfírio,-51.953056418,-2.5948504183,#NAME?
Soure,-48.5160126623,-0.7259255,#NAME?
Tailândia,-48.9512816296,-2.9370795,#NAME?
Terra Alta,-47.9078083484,-1.0348266636,#NAME?
Terra Santa,-56.4909047722,-2.1081144737,#NAME?
Tomé-Açu,-48.1468965866,-2.4193668553,#NAME?
Tracuateua,-46.8994783371,-1.0687840586,#NAME?
Trairão,-55.9961700349,-4.6998191497,#NAME?
Tucumã,-51.1395392466,-6.7499720074,#NAME?
Tucuruí,-49.6671843672,-3.7668890843,#NAME?
Ulianópolis,-47.503144755,-3.75719301,#NAME?
Uruará,-53.7370310505,-3.7065285,#NAME?
Vigia,-48.1414985852,-0.8555325737,#NAME?
Viseu,-46.1387652161,-1.2032785267,#NAME?
Vitória do Xingu,-52.0112603538,-2.8837657102,#NAME?
Xinguara,-49.9427005844,-7.1015128271,#NAME?
Serra do Navio,-52.0035384353,0.897841041,#NAME?
Amapá,-50.7932144703,2.0539212447,#NAME?
Pedra Branca do Amapari,-51.9465942733,0.7768828606,#NAME?
