,UF,cidade,dist,lat,lon
1178,RN,Pedra Grande,2310.971427449655,-0.08987376517539557,-0.626154159084413
1179,RN,Pedra Preta,2256.7587628754386,-0.09742269332290845,-0.6301185903362496
1180,RN,Pedro Avelino,2246.7457283301633,-0.09641202596499637,-0.6350420496084214
1181,RN,Pedro Velho,2227.808148171155,-0.11228033797377891,-0.6147562619975798
1182,RN,Pendências,2254.7708110882136,-0.09174826166209536,-0.6408699969238736
1183,RN,Pilões,2087.4327008230653,-0.10935748659758351,-0.6640007951512961
1184,RN,Poço Branco,2278.6508901111756,-0.09806745892718066,-0.6222973502238311
1185,RN,Portalegre,2114.3700486429343,-0.1051443590557044,-0.6629667167199785
1186,RN,Porto do Mangue,2269.8654707315736,-0.08848243614597205,-0.6419414899190248
1187,RN,Presidente Juscelino,2229.7015621619144,-0.10655082865581866,-0.6231803742934914
1188,RN,Pureza,2298.513764552204,-0.0953982759699075,-0.620678670127528
1189,RN,Rafael Fernandes,2086.5816158037937,-0.10797471036566383,-0.6671085237084988
1190,RN,Rafael Godeiro,2122.461170893375,-0.10608628941704414,-0.6582679280868905
1191,RN,Riacho da Cruz,2124.9030595049535,-0.10359929775708314,-0.6623572457240908
1192,RN,Riacho de Santana,2074.285515074459,-0.1093401747919247,-0.6687199887149033
1193,RN,Riachuelo,2250.270124847599,-0.10147251707034555,-0.625286453354209
1194,RN,Rodolfo Fernandes,2134.1442655727255,-0.10101954560856317,-0.6643224798156226
1195,RN,Tibau,2268.3591359355487,-0.08449902334070795,-0.6501578822152935
1196,RN,Ruy Barbosa,2237.7867935351837,-0.10261539315749343,-0.6271925169461193
1197,RN,Santa Cruz,2199.577195241104,-0.10873533227656829,-0.6286766124209106
1198,RN,Santana do Matos,2190.118379016148,-0.10398195479720586,-0.6397348160125963
1199,RN,Santana do Seridó,2107.3505589098595,-0.11816143894777055,-0.6411790179678399
1200,RN,Santo Antônio,2224.511557236465,-0.11004604483756683,-0.619157942966811
1201,RN,São Bento do Norte,2310.7978373038013,-0.0883049520068885,-0.6289369244932264
1202,RN,São Bento do Trairí,2184.897051403972,-0.11073208656235083,-0.6298350036962198
1203,RN,São Fernando,2120.075194061253,-0.11141939471374808,-0.649007716725618
1204,RN,São Francisco do Oeste,2107.7324112452307,-0.10473086537080582,-0.6661798915238567
1205,RN,São Gonçalo do Amarante,2281.4174817951553,-0.10104680640356892,-0.6166450023606512
1206,RN,São João do Sabugi,2087.2703241770732,-0.1171329617475163,-0.6493347324038972
1207,RN,São José de Mipibu,2260.515385850831,-0.10594961379684052,-0.6150588219269031
1208,RN,São José do Campestre,2209.472355297678,-0.11022738558182928,-0.6232939901785587
1209,RN,São José do Seridó,2130.1325649038213,-0.11255276722655548,-0.6437343065465836
1210,RN,São Miguel,2070.832934470515,-0.10842583819252408,-0.6718879523213424
1211,RN,São Miguel do Gostoso,2326.695093023203,-0.08941072378865707,-0.6220577469072053
1212,RN,São Paulo do Potengi,2245.6836344839535,-0.10297129010092089,-0.6242060050641939
1213,RN,São Pedro,2253.056633224367,-0.1029391751473303,-0.6220407739118422
1214,RN,São Rafael,2192.5865455811977,-0.10124540194580083,-0.6438588998632409
1215,RN,São Tomé,2220.993227957052,-0.10424890625209458,-0.6296041951984145
